file,purpose
fig01_violin_saving.png,distribution comparison
fig02_box_strip_cost.png,cost spread and outlier visibility
fig03_slope_ev_vs_charger.png,EV-Charger gap by method
fig04_pareto_cost_peak.png,cost-peak tradeoff
fig05_rank_heatmap.png,cross-day rank stability
fig06_error_vs_saving.png,forecast quality vs control gain
fig07_point_ci_saving.png,uncertainty-aware method ranking
fig08_ecdf_cost.png,distribution robustness
fig09_all_method_load_curves.png,all-method load shape comparison
fig10_radar_top_methods.png,multi-metric method profile
